PULocationID,zone,attractions,attractions_amusement_park,attractions_aquarium,attractions_art_gallery,attractions_casino,attractions_museum,attractions_tourist_attraction,attractions_zoo
4,Alphabet City,1,0,0,1,0,0,1,0
12,Battery Park,1,0,0,0,0,1,1,0
13,Battery Park City,1,0,0,0,0,0,1,0
45,Chinatown,1,0,0,0,0,0,1,0
48,Clinton East,1,0,0,1,0,0,0,0
50,Clinton West,1,0,0,1,0,0,0,0
75,East Harlem South,1,0,0,0,0,0,1,0
79,East Village,1,0,0,0,0,1,0,0
87,Financial District North,1,0,0,0,0,0,1,0
103,Governor's Island/Ellis Island/Liberty Island,1,0,0,0,0,0,1,0
113,Greenwich Village North,1,0,0,1,0,0,0,0
114,Greenwich Village South,1,0,0,1,0,0,1,0
120,Highbridge Park,1,0,0,0,0,0,1,0
137,Kips Bay,1,0,0,1,0,0,1,0
142,Lincoln Square East,1,0,0,0,0,0,1,0
148,Lower East Side,1,0,0,1,0,1,1,0
202,Roosevelt Island,1,0,0,0,0,0,1,0
209,Seaport,1,0,0,0,0,0,1,0
211,SoHo,1,0,0,1,0,0,0,0
230,Times Sq/Theatre District,1,0,0,0,0,0,1,0
232,Two Bridges/Seward Park,1,0,0,1,0,0,0,0
234,Union Sq,1,0,0,1,0,0,1,0
