,137,232,school_pri
0,23.0,2.0,898.0
1,32.0,6.0,986.0
2,22.0,8.0,660.0
3,6.0,1.0,316.0
4,6.0,1.0,174.0
5,7.0,0.0,120.0
6,1.0,1.0,250.0
7,16.0,1.0,402.0
8,11.0,2.0,448.0
9,11.0,2.0,434.0
10,9.0,3.0,556.0
11,17.0,4.0,946.0
12,21.0,5.0,1140.0
13,23.0,1.0,1256.0
14,14.0,1.0,1208.0
15,22.0,2.0,1582.0
16,27.0,1.0,1644.0
17,25.0,2.0,1102.0
18,29.0,0.0,920.0
19,28.0,0.0,842.0
20,16.0,0.0,536.0
21,11.0,0.0,422.0
22,12.0,0.0,358.0
23,13.0,1.0,264.0
24,7.0,1.0,164.0
25,5.0,0.0,106.0
26,4.0,0.0,46.0
27,3.0,0.0,42.0
28,1.0,0.0,36.0
29,2.0,1.0,84.0
30,4.0,1.0,172.0
31,25.0,3.0,386.0
32,20.0,1.0,604.0
33,23.0,3.0,798.0
34,26.0,1.0,1092.0
35,32.0,1.0,1536.0
36,39.0,2.0,1876.0
37,44.0,5.0,1950.0
38,28.0,5.0,2266.0
39,41.0,4.0,2382.0
40,33.0,4.0,2204.0
41,42.0,6.0,2018.0
42,33.0,1.0,1636.0
43,37.0,4.0,1352.0
44,23.0,5.0,966.0
45,17.0,0.0,866.0
46,15.0,2.0,708.0
47,20.0,0.0,416.0
48,25.0,0.0,296.0
49,4.0,0.0,164.0
50,3.0,0.0,100.0
51,5.0,2.0,92.0
52,2.0,1.0,48.0
53,2.0,0.0,84.0
54,7.0,1.0,168.0
55,14.0,0.0,352.0
56,14.0,1.0,418.0
57,23.0,1.0,696.0
58,32.0,1.0,1022.0
59,31.0,1.0,1164.0
60,33.0,1.0,1494.0
61,29.0,1.0,1396.0
62,38.0,1.0,1660.0
63,30.0,8.0,1664.0
64,43.0,4.0,1698.0
65,37.0,3.0,1328.0
66,17.0,2.0,1002.0
67,27.0,1.0,744.0
68,28.0,0.0,572.0
69,11.0,0.0,410.0
70,8.0,1.0,310.0
71,11.0,1.0,212.0
72,14.0,0.0,146.0
73,4.0,1.0,82.0
74,0.0,0.0,44.0
75,3.0,0.0,40.0
76,1.0,0.0,46.0
77,0.0,0.0,214.0
78,18.0,1.0,658.0
79,47.0,3.0,1254.0
80,58.0,2.0,1922.0
81,62.0,2.0,2126.0
82,60.0,3.0,2200.0
83,65.0,6.0,2260.0
84,64.0,2.0,2318.0
85,70.0,1.0,2396.0
86,80.0,3.0,2578.0
87,87.0,4.0,2538.0
88,82.0,10.0,2382.0
89,101.0,6.0,2332.0
90,64.0,0.0,1964.0
91,60.0,5.0,1342.0
92,35.0,3.0,928.0
93,20.0,1.0,548.0
94,10.0,0.0,450.0
95,8.0,0.0,284.0
96,9.0,1.0,160.0
97,3.0,0.0,78.0
98,6.0,0.0,40.0
99,4.0,0.0,28.0
100,3.0,0.0,60.0
101,2.0,0.0,210.0
102,17.0,2.0,662.0
103,41.0,3.0,1320.0
104,51.0,2.0,2062.0
105,61.0,6.0,2214.0
106,74.0,3.0,2224.0
107,69.0,2.0,2306.0
108,71.0,8.0,2426.0
109,90.0,5.0,2740.0
110,93.0,2.0,2874.0
111,72.0,6.0,2620.0
112,112.0,5.0,2670.0
113,92.0,5.0,2602.0
114,61.0,2.0,2104.0
115,58.0,3.0,1500.0
116,38.0,2.0,916.0
117,22.0,1.0,714.0
118,18.0,1.0,548.0
119,13.0,0.0,344.0
120,9.0,1.0,214.0
121,4.0,0.0,80.0
122,2.0,0.0,62.0
123,2.0,1.0,56.0
124,4.0,1.0,60.0
125,3.0,0.0,232.0
126,13.0,1.0,688.0
127,49.0,2.0,1408.0
128,55.0,5.0,2240.0
129,56.0,5.0,2164.0
130,65.0,9.0,2300.0
131,48.0,3.0,2322.0
132,63.0,6.0,2572.0
133,69.0,6.0,2680.0
134,83.0,6.0,2902.0
135,88.0,1.0,2914.0
136,103.0,5.0,2904.0
137,89.0,2.0,2784.0
138,74.0,3.0,2426.0
139,61.0,0.0,1676.0
140,44.0,2.0,950.0
141,27.0,1.0,752.0
142,25.0,2.0,610.0
143,19.0,1.0,346.0
144,8.0,1.0,208.0
145,6.0,0.0,106.0
146,2.0,0.0,60.0
147,4.0,0.0,54.0
148,4.0,0.0,52.0
149,5.0,0.0,184.0
150,9.0,1.0,674.0
151,35.0,2.0,1412.0
152,50.0,5.0,2278.0
153,41.0,3.0,2196.0
154,58.0,4.0,2402.0
155,80.0,2.0,2574.0
156,62.0,6.0,2590.0
157,75.0,5.0,2754.0
158,71.0,6.0,2874.0
159,79.0,7.0,2936.0
160,80.0,7.0,2796.0
161,91.0,3.0,2764.0
162,83.0,6.0,2460.0
163,71.0,0.0,1846.0
164,46.0,2.0,1166.0
165,23.0,1.0,798.0
166,20.0,2.0,604.0
167,16.0,1.0,362.0
168,22.0,0.0,236.0
169,8.0,1.0,132.0
170,3.0,0.0,64.0
171,2.0,1.0,38.0
172,3.0,0.0,50.0
173,3.0,0.0,210.0
174,9.0,0.0,638.0
175,30.0,3.0,1340.0
176,53.0,7.0,2076.0
177,50.0,5.0,2080.0
178,62.0,2.0,2240.0
179,72.0,2.0,2334.0
180,73.0,8.0,2582.0
181,88.0,6.0,2754.0
182,72.0,2.0,2868.0
183,93.0,6.0,3044.0
184,78.0,7.0,2776.0
185,90.0,5.0,2724.0
186,73.0,5.0,2518.0
187,73.0,4.0,2078.0
188,53.0,4.0,1328.0
189,25.0,3.0,982.0
190,27.0,1.0,894.0
191,19.0,0.0,526.0
192,17.0,0.0,330.0
193,11.0,1.0,208.0
194,6.0,2.0,120.0
195,2.0,0.0,78.0
196,3.0,0.0,68.0
197,3.0,0.0,64.0
198,8.0,1.0,322.0
199,19.0,1.0,508.0
200,27.0,0.0,820.0
201,34.0,5.0,1266.0
202,29.0,0.0,1566.0
203,42.0,0.0,1952.0
204,50.0,4.0,2168.0
205,44.0,2.0,2316.0
206,49.0,1.0,2568.0
207,47.0,3.0,2458.0
208,43.0,4.0,2426.0
